Title,Flops,ReadWrites
Downscale,0,1036800
Convolution,74649600,40465200
GaussianPyramid,876220080,427381120
DOGPyramid,13820100,82920612
GradientAndRotationPyramids,94167169,49752372
Histogram,8178,3213
ExtremaRefinement,220,187
KeypointDetection,1765527,8870107
ExtractDescriptor,7330157,2595518
MeasureFull,1003411772,575149542
