NAME, LIBRARY, VERSION, COMPILER, FLAGS, MODE, INPUT, INPUT-SIZE, FUNCTION, MEDIAN, MAD, RELATIVE, INTENSITY
ethSIFT avx clang full rdtsc Histogram, ethSIFT, avx, clang, full, rdtsc, auto-240p, 240, Histogram, 0.8486783, -0.005842328, 0.00000006512284, 2.5614655
ethSIFT avx clang full rdtsc ExtremaRefinement, ethSIFT, avx, clang, full, rdtsc, auto-240p, 240, ExtremaRefinement, 0.50289017, -0.0042731166, 0.000000038590013, 1.0807453
ethSIFT avx clang full rdtsc KeypointDetection, ethSIFT, avx, clang, full, rdtsc, auto-240p, 240, KeypointDetection, 0.17253827, -0.00085543096, 0.000000019165231, 1.0536155
ethSIFT avx clang full rdtsc ExtractDescriptor, ethSIFT, avx, clang, full, rdtsc, auto-240p, 240, ExtractDescriptor, 0.71038735, -0.0054093003, 0.07035127, 2.6122131
ethSIFT avx clang full rdtsc MeasureFull, ethSIFT, avx, clang, full, rdtsc, auto-240p, 240, MeasureFull, 2.142412, -0.07143021, 0.21216793, 3.9261184
ethSIFT avx clang full rdtsc MeasureFullNoAlloc, ethSIFT, avx, clang, full, rdtsc, auto-240p, 240, MeasureFullNoAlloc, 26067670.0, 1312950.0, 2581540.8, 0.0
ethSIFT avx clang notree rdtsc Downscale, ethSIFT, avx, clang, notree, rdtsc, auto-240p, 240, Downscale, 0.0, 0.0, 0.0, 0.0
ethSIFT avx clang notree rdtsc Convolution, ethSIFT, avx, clang, notree, rdtsc, auto-240p, 240, Convolution, 3.6429777, -0.0017590523, 0.00000013175313, 3.372131
ethSIFT avx clang notree rdtsc Octaves, ethSIFT, avx, clang, notree, rdtsc, auto-240p, 240, Octaves, 109004.0, 435.884, 0.003942274, 0.0
ethSIFT avx clang notree rdtsc GaussianKernelGeneration, ethSIFT, avx, clang, notree, rdtsc, auto-240p, 240, GaussianKernelGeneration, 6376.0, 539.666, 0.00023059649, 0.0
ethSIFT avx clang notree rdtsc GaussianPyramid, ethSIFT, avx, clang, notree, rdtsc, auto-240p, 240, GaussianPyramid, 4.2956343, -0.015900135, 0.00000024437918, 4.0669374
ethSIFT avx clang notree rdtsc DOGPyramid, ethSIFT, avx, clang, notree, rdtsc, auto-240p, 240, DOGPyramid, 1.3702502, -0.008728862, 0.000000080227224, 3.6348531
