Title,Flops,ReadWrites
Downscale,0,115200
Convolution,8294400,4502800
GaussianPyramid,97354000,47620178
DOGPyramid,1535500,9213012
GradientAndRotationPyramids,10478839,5527812
Histogram,8137,3198
ExtremaRefinement,203,168
KeypointDetection,799846,1200051
ExtractDescriptor,7413496,2626154
MeasureFull,117963809,66305840
