Title,Flops,ReadWrites
Downscale,0,115200
Convolution,8294400,9686800
GaussianPyramid,97354622,108264914
DOGPyramid,1535500,4606512
GradientAndRotationPyramids,10478837,5527812
Histogram,9230,3206
ExtremaRefinement,202,168
KeypointDetection,903133,1976531
ExtractDescriptor,7695085,2626154
