Title,Flops,ReadWrites
Downscale,0,4147200
Convolution,298598400,348424800
GaussianPyramid,3504982560,3892936117
DOGPyramid,55282200,331693212
GradientAndRotationPyramids,377066013,199015932
Histogram,7970,2786
ExtremaRefinement,197,164
KeypointDetection,3900851,41350347
ExtractDescriptor,6639424,2278196
MeasureFull,3977461048,4483546959
