Title,Flops,ReadWrites
Downscale,0,4147200
Convolution,298598400,161800800
GaussianPyramid,3504982560,1708036447
DOGPyramid,55282200,331693212
GradientAndRotationPyramids,377065489,199015932
Histogram,7017,2778
ExtremaRefinement,198,164
KeypointDetection,3478208,34344857
ExtractDescriptor,6397272,2278214
MeasureFull,3975743132,2285663632
