Title,Flops,ReadWrites
Downscale,0,460800
Convolution,33177600,38727200
GaussianPyramid,389438720,432759857
DOGPyramid,6142400,36854412
GradientAndRotationPyramids,41868220,22112652
Histogram,9507,3298
ExtremaRefinement,187,154
KeypointDetection,1539247,6032806
ExtractDescriptor,8449165,2681432
MeasureFull,453636985,503037410
